projectid,<nn>title</nn>
fd72379aa2479e3edbf35d81db56c30c,<vbg>Sharing</vbg> <nn>Student</nn> <nn>Work</nn>
fd6ef80e458eb5c6e95e2996fdc9c403,<nnp>Ancient</nnp> <nnp>Technology</nnp> <sym>+</sym> <nnp>No</nnp> <nn>Printing</nn> <sym>=</sym> <jj>Inefficient</jj> <nn>Monitoring</nn>
fd5a8851c6ec0e3374625badbfd8f529,<ppl>``</ppl> <jj>Un-flatten</jj> <nnp>Our</nnp> <nnp>Instruments</nnp>
fd556f9a880a36198a57cd8609a015a9,<nnp>Nooks</nnp> <in>in</in> <det>the</det> <nnp>Library</nnp>
fd4d24d19b3529af3fc8c4ac9e4832c8,<jj>Ravenous</jj> <nns>Readers</nns> <vbp>Need</vbp> <nns>Books</nns> <pp>!</pp>
fd32cd9f11824f4073a3badaf23aee5b,<ppl>``</ppl> <vbg>Starting</vbg> <det>The</det> <nn>Year</nn> <det>The</det> <ppl>``</ppl> <ppl>``</ppl> <vb>Write</vb> <ppr>''</ppr> <ppr>''</ppr> <nnp>Way</nnp> <pp>!</pp> <ppr>''</ppr>
fd31c28ba2cbfc1b9dcd10a3f9855aca,<det>A</det> <nnp>New</nnp> <nnp>Face</nnp> <in>for</in> <prps>Our</prps> <nn>Fun</nn> <nn>Place</nn>
fd2c45e3200ec8e5693f61cbc03b8185,<jj>Portable</jj> <nn>Technology</nn>
fd299b2503705f7ecc6e3540a1c58c25,<nn>Collaboration</nn> <sym>=</sym> <nnp>College</nnp> <cc>and</cc> <nnp>Career</nnp> <nnp>Ready</nnp>
fd150646e5c8d56ea314269ab11b6bc1,<nnp>Interactive</nnp> <in>without</in> <nn>disturbance</nn>
fd07a3a518966c34dc9e1812bdef0eea,<nnp>Book</nnp> <nnp>Buddy</nnp> <nnp>Bonanza</nnp> <pp>!</pp>
fcf5e71151c4b90f23ff18dc387e8594,<nnp>Art</nnp> <nn>History</nn>
fce0b706279e078b35c2a84c9dccde07,<ppl>``</ppl> <nn>Help</nn> <nnp>Us</nnp> <vbp>Learn</vbp> <to>to</to> <vbp>Count</vbp> <nns>Pennies</nns>
fcdc774002cc16bc0655bd1929ad888e,<det>A</det> <nnp>Love</nnp> <in>for</in> <nn>Literacy</nn>
fcdc5bf85d15f02d25e7d11b2e232370,<nn>Tornado</nn> <md>Ca</md> <rb>n't</rb> <vb>Stop</vb> <det>This</det> <nn>Counselor</nn>
fcd2adcfcb903ca230748347c89c6764,<nnp>My</nnp> <nns>Students</nns> <vbp>Need</vbp> <nnp>Mailboxes</nnp> <pp>!</pp>
fccc78461d8c881df7b3b8c354168cb0,<nnp>Watch</nnp> <nnp>My</nnp> <nns>Students</nns> <jj>Flip</jj> <nns>Projects</nns>
fcb774795d7047c0747ef84a4ebe2bd0,<nnp>Photovoice</nnp> <pps>:</pps> <vbg>Promoting</vbg> <nn>Literacy</nn> <in>Through</in> <nnp>Photography</nnp>
fc92ee26be34200e9e0a05330e4301be,<nn>Knowledge</nn> <nns>Seekers</nns> <vbp>Need</vbp> <nns>Books</nns> <pp>!</pp>
fc832ddd5875aaad9d6d18d463cbbc62,<nnp>Scientific</nnp> <nnp>Inquiry</nnp> <in>for</in> <jj>Life-Long</jj> <nnp>Learning</nnp>
fc7edabfaa80379bdf47dc3fa9903bff,<in>So</in> <nnp>Serious</nnp> <in>About</in> <nnp>Books</nnp> <in>in</in> <det>a</det> <nnp>Series.Part</nnp> <cd>2</cd> <pp>!</pp> <pp>!</pp> <pp>!</pp> <pp>!</pp>
fc7d211df55021b8f2c90a1de5d4849f,<nnp>A/E</nnp> <vbz>is</vbz> <in>for</in> <nnp>Acoustic/Electric</nnp>
fc796070df8ff3a8f4ccc027507b7472,<md>Can</md> <prp>We</prp> <vbp>Get</vbp> <det>That</det> <in>In</in> <nnp>Color</nnp> <pp>?</pp>
fc70a0f038b6581f4ab591b173818df6,<nn>Printer</nn> <nn>Ink</nn> <in>for</in> <det>a</det> <nnp>STEM</nnp> <nnp>Math</nnp> <nnp>Classroom</nnp> <pp>!</pp>
fc5bb53df405f42ba9d5d6dd554b0b7e,<nnp>Ready</nnp> <nns>Readers</nns> <vbp>Need</vbp> <nns>Books</nns>
fc5322f0fd22e0ca7f54f7d30cd7e509,<nnp>Libros</nnp> <nnp>Para</nnp> <nnp>Ninos</nnp> <pp>!</pp>
fc4df543227a1e9f8f18bf26acc9f63a,<nnp>Creative</nnp> <nnp>Kindergarteners</nnp> <nnp>Make</nnp> <nnp>Math</nnp> <vbp>Count</vbp> <pp>!</pp>
fc3eee04629a6f2ca8e194d57f7e377a,<nns>Battles</nns> <in>Of</in> <det>The</det> <nnp>Civil</nnp> <nnp>War</nnp>
fc2b936008e81db21b331cdf2961a66f,<nnp>Typing</nnp> <vbz>Bullies</vbz> <rb>Away</rb>
fc287dea89fc9f7c3e2c52fb77e73176,<det>A</det> <nnp>Crash</nnp> <nnp>Course</nnp> <in>in</in> <nnp>Crash</nnp> <nnp>Cymbals</nnp>
fc183150bb52edb500688cc11bc59412,<wp>What</wp> <vbz>'s</vbz> <nnp>Math</nnp> <in>Without</in> <nns>Calculators</nns> <pp>?</pp>
fc1404392d319439a146d3e9d3749a3f,<vbg>Seeing</vbg> <vbz>is</vbz> <vbg>Believing</vbg> <pps>:</pps> <nnp>Open</nnp> <nnp>Our</nnp> <nns>Eyes</nns> <to>to</to> <nnp>Learning</nnp>
fc0a1cba019388e6b53fcb2d89e967d1,<nnp>Inkers</nnp>
fc0a09a460736fdc8b99532772d0e92c,<prps>Our</prps> <nn>campus</nn> <vbz>needs</vbz> <jj>basic</jj> <nns>supplies</nns> <pp>!</pp>
fc0a09a460736fdc8b99532772d0e92c,<vb>Please</vb> <nn>help</nn> <pp>.</pp>
fc03e38c5babef84840983ade30fc56f,<nnp>Let</nnp> <pos>'s</pos> <vb>Get</vb> <nnp>Board</nnp> <pps>-</pps> <nnp>GO</nnp> <nnp>GREEN</nnp>
fc03e38c5babef84840983ade30fc56f,<prp>s</prp>
fc03d53f7eea6bbf3740ad56fb600330,<vbg>Seeing</vbg> <vbz>is</vbz> <vbg>Believing</vbg> <pp>!</pp>
fbe28a2305421ecc7353bf519885dbda,<nns>iPods</nns> <sym>=</sym> <nnp>Student</nnp> <nnp>Engagement</nnp> <pp>!</pp>
fbdb59c537083cf326cb99b4c08ad83c,<nnp>High</nnp> <nnp>Interest</nnp> <nnp>Books</nnp> <in>for</in> <nnp>Kids</nnp>
fbd8309d652e2cb67c47b5750eadbc3b,<nns>Numbers</nns> <vbp>Are</vbp> <nn>Fun</nn> <pp>!</pp>
fbd5aeea8017d165787a57dfa58990df,<nn>Help</nn> <prp>us</prp> <vbp>Learn</vbp> <to>to</to> <vb>Read</vb> <in>with</in> <nns>CDs</nns> <cc>and</cc> <prps>Our</prps> <jj>Favorite</jj> <nns>Books</nns>
fbd4eebfa50e971902f82fd2929e2d73,<nnp>Technology</nnp> <to>to</to> <vb>Enhance</vb> <nnp>Learning</nnp> <pp>!</pp>
fbc613c157c1e0425e1d6097dd432cda,<nnp>Amazing</nnp> <nnp>Alvin</nnp> <nnp>Ailey</nnp> <nn>Adventure</nn> <pp>!</pp> <pp>!</pp>
fbc250141cbba07abfe639be831540a6,<jj>Accelerated</jj> <nn>Mathematics</nn>
fbb7a31f26bc722ac616b322e73a793a,<nn>Opening</nn> <det>the</det> <nnp>Door</nnp> <to>to</to> <nnp>Common</nnp> <nnp>Core</nnp>
fbaf055476e63c9995b46dc0cad247e7,<nn>Listening</nn> <to>to</to> <vb>Learn</vb> <pp>!</pp>
fba75324e16c05352a6d5849e2ccab2f,<jj>Neat</jj> <in>As</in> <det>A</det> <nn>Pin</nn> <pp>!</pp>
fb94fea70600ab89287dff76c7ae7d74,<nnp>Guitar</nnp> <nnp>Class</nnp>
fb9151dd4f6504eaa4d08a1ad6fc2c60,<nnps>Games</nnps> <cc>and</cc> <nnp>Learning</nnp>
fb8d21c539b309c9acf89e2adb705bab,<vbg>Starving</vbg> <nns>Minds</nns> <vbp>Need</vbp> <jj>Books-Digital</jj> <nnp>Retelling</nnp>
fb7d9d8ece1cd108e726d44c15ef1d72,<nnp>Art</nnp> <in>Around</in> <det>The</det> <nnp>World</nnp>
fb725dedf6a861a6800bd02278684cfe,<nnp>Books</nnp> <cc>and</cc> <nnp>Area</nnp> <nn>Rug</nn>
fb678de20b6a2a1dbd643ef9f2ac26f5,<nnp>Future</nnp> <nns>Scientists</nns>
fb6748d6b1daca5a1bd01e55ada30837,<nnp>Great</nnp> <jjr>Kinder</jjr> <nnp>Mathematicians</nnp> <pps>:</pps> <vbg>Counting</vbg> <nnp>Workshop</nnp>
fb5e2cd5d73be5dcdf8825a8372616ff,<nnp>Empowering</nnp> <nns>Students</nns> <in>Toward</in> <nnp>Numeracy</nnp> <pp>!</pp>
fb57593acc65e5d227d777d2ee4e3389,<det>The</det> <nnp>World</nnp> <pos>'s</pos> <jjs>Most</jjs> <jj>Amazing</jj> <nnp>Classroom</nnp> <nnp>Library</nnp>
fb524169e139a6c97e999016b9e0202d,<nnp>Machu</nnp> <nnp>Picchu</nnp> <cc>Or</cc> <nn>Bust</nn> <pp>!</pp>
fb4a93ad3867ae5bc35e4a6388004804,<ppl>``</ppl> <det>A</det> <nnp>Love</nnp> <in>for</in> <nn>Reading</nn> <ppl>``</ppl> <ppl>``</ppl> <nnp>.The</nnp> <nnp>Pathway</nnp> <to>to</to> <det>a</det> <jj>Successful</jj> <nn>Life</nn> <pp>.</pp> <ppr>''</ppr>
fb40c93fb23d4e5b11554eef9fe9977e,<wp>What</wp> <vbz>'s</vbz> <det>The</det> <jj>Relative</jj> <nnp>Humidity</nnp>
fb3d063b26f1956ae9c30be9d9c591db,<nnp>Financial</nnp> <nnp>Education</nnp> <vbz>Is</vbz> <det>an</det> <jj>Essential</jj> <nn>Life</nn> <nn>Skill</nn>
fb3cb1861cca34dcc8ed72f8f53a5d22,<nnp>Learning</nnp> <to>to</to> <vb>Write</vb> <in>with</in> <nnp>Books</nnp>
fb1edcd0590b54f20f631c28eef61920,<nnp>Chemistry</nnp> <nns>Supplies</nns>
fb196eea85f053878aa897bfd5662c76,<prp>We</prp> <nnp>Love</nnp> <to>To</to> <vb>Read</vb> <cc>And</cc> <nn>Need</nn> <prps>Your</prps> <nn>Help</nn>
fb104dc29b41c1410ff76880ea632c80,<vb>Replace</vb> <prps>My</prps> <nnp>Prehistoric</nnp> <nnp>Computers</nnp>
fb0ee5a05bb1ae41893c0698427a6de0,<nnp>Learning</nnp> <in>Through</in> <nnp>Projects</nnp>
fb0be371246774898821081c917f0357,<nnp>Real</nnp> <nnp>Math</nnp> <pp>!</pp>
fb0be371246774898821081c917f0357,<nnp>Real</nnp> <nnp>World</nnp> <pp>!</pp>
fb0be371246774898821081c917f0357,<nnp>Real</nnp> <nns>Results</nns> <pp>!</pp>
faf84dc129b5e18e3ac92f15830d7d24,<vbg>Grasping</vbg> <det>the</det> <nn>Grammar</nn> <in>of</in> <prps>Our</prps> <nnp>New</nnp> <nnp>Country</nnp>
fae48a58ce66a99beeee45cfe2f1acbe,<nnp>Reference</nnp> <nnps>Materials</nnps> <in>for</in> <cd>2nd</cd> <cc>&</cc> <cd>3rd</cd> <nns>Graders</nns>
fadce2fcee9b226bbfb0a1fbd7ea0193,<nnp>Go</nnp> <nnp>Picture</nnp>
fadc06934a986d8d0fa3ac3752bc939c,<det>The</det> <nnp>Immortal</nnp> <nnp>Life</nnp> <in>of</in> <nnp>Henrietta</nnp> <vbz>Lacks</vbz>
fad547d132a97201a18d529478d3302f,<nnp>Project</nnp> <nnp>Discovery</nnp> <pps>:</pps> <nnp>Open</nnp> <nnp>Our</nnp> <nns>Eyes</nns> <to>to</to> <nnp>Science</nnp>
fad20f3a3b5108878311d5e65e7af6e1,<vbg>Creating</vbg> <jj>Confident</jj> <nnp>Learners</nnp> <pp>!</pp>
fab86e2dadcd0d82c77f5b0b07cd2654,<det>A</det> <jj>Large</jj> <nnp>Classroom</nnp> <nnp>Library</nnp> <sym>+</sym> <nnp>Colored</nnp> <nnp>Paper</nnp> <sym>=</sym> <vbn>Engaged</vbn> <nns>Students</nns>
fa8cb93d21d102c4c29e0f68230e0291,<nn>Help</nn> <nn>Fair</nn> <nn>Weather</nn> <nns>Students</nns> <vb>be</vb> <jj>Excellent</jj> <nn>Weather</nn> <nns>Students</nns> <pp>!</pp>
fa72cf84bf7dbbccec649937f832afcd,<nnp>Math</nnp> <nnp>Masterminds</nnp>
fa6813a2a5cfd60e7a43ddacea402335,<nnp>Books</nnp> <nnp>Books</nnp> <nnp>Books</nnp> <pp>!</pp>
fa546f2d3bedfb4e1bb57974f8d02cf8,<jj>Active</jj> <nnp>Listening/Learning</nnp> <in>With</in> <nnp>Technology</nnp>
fa4efcdbd948f2f91a73ffb9db36c5f4,<ppl>``</ppl> <jj>iSing</jj>
fa4355677f5f36c7836ce459b0d9f78e,<nnp>Learning</nnp> <to>to</to> <nnp>Love</nnp> <nn>Literacy</nn> <pps>:</pps> <nnp>ESL</nnp> <nns>Students</nns> <vbp>Need</vbp> <nnp>New</nnp> <nnps>Materials</nnps>
fa383671443fc4926924bcae0a09384f,<vbg>Starting</vbg> <rb>Early</rb> <in>with</in> <nnp>Technology</nnp>
fa2ed854241b575fdd2dd1a640b20e13,<nnp>Let</nnp> <nnp>Our</nnp> <nnp>Children</nnp> <vb>Be</vb> <vbn>Heard</vbn> <pp>!</pp>
fa2aa3e12713716d9c4c2e9c8471095d,<ppl>``</ppl> <nnp>Technology</nnp>
fa263fd0282508efdd68e4cff4a94be7,<wp>What</wp> <vbp>Do</vbp> <prp>We</prp> <vbp>Need</vbp> <pp>?</pp>
fa263fd0282508efdd68e4cff4a94be7,<nnp>BOOKS</nnp> <pp>!</pp>
fa263fd0282508efdd68e4cff4a94be7,<wrb>When</wrb> <nnp>Do</nnp> <prp>We</prp> <vbp>Need</vbp> <prp>Them</prp> <pp>?</pp>
fa263fd0282508efdd68e4cff4a94be7,<nnp>NOW</nnp> <pp>!</pp>
fa23a0e4ce4470e9e2fbcc0e33caa415,<nnp>Learning</nnp> <vbz>Is</vbz> <nn>Fun</nn> <pp>!</pp>
