projectid,<nn>essay</nn>
ffe787d47956a6a506deb6f63ee35ffe,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <det>a</det> <jj>digital</jj> <nn>recorder</nn> <to>to</to> <vb>record</vb> <prps>their</prps> <nn>playing</nn> <in>during</in> <nn>band</nn> <nns>rehearsals/lessons</nns> <pp>.</pp>
ffe6f1c146c0ae19eba2482b95e5a61f,<nn>glue</nn>
ffdeb6b3803d341d19d1d9fd2f327880,<prp>we</prp> <nn>exchange</nn> <prps>our</prps> <pp>.</pp> <ppr>''</ppr>
ffcfac8b6bec20f21fcc71a751777d59,<ppl>``</ppl> <prps>My</prps> <nns>students</nns> <vbp>come</vbp> <in>from</in> <det>a</det> <jj>struggling</jj> <nn>community</nn> <pp>.</pp>
ffcfac8b6bec20f21fcc71a751777d59,<prp>They</prp> <vbp>do</vbp> <det>the</det> <jjs>best</jjs> <prp>they</prp> <md>can</md> <rb>because</rb> <prps>their</prps> <nns>parents</nns> <vbp>do</vbp> <det>the</det> <jjs>best</jjs> <prp>they</prp> <md>can</md> <pp>.</pp>
ffcfac8b6bec20f21fcc71a751777d59,<prp>They</prp> <vbd>came</vbd> <to>to</to> <prps>our</prps> <nn>classroom</nn> <in>with</in> <jj>diverse</jj> <nn>learning</nn> <cc>and</cc> <jj>emotional</jj> <nns>needs</nns> <pp>.</pp>
ffcfac8b6bec20f21fcc71a751777d59,<rb>However</rb> <det>the</det> <nns>challenges</nns>
ffce3c1e1f8b22ae90f9ff71ef3ca8c4,<ppl>``</ppl> <md>Can</md> <prp>you</prp> <vb>be</vb> <in>in</in> <cd>two</cd> <nns>places</nns> <in>at</in> <rb>once</rb> <pp>?</pp>
ffce3c1e1f8b22ae90f9ff71ef3ca8c4,<prp>We</prp> <vbp>want</vbp> <to>to</to> <vb>be</vb> <pp>!</pp>
ffce3c1e1f8b22ae90f9ff71ef3ca8c4,<vbg>Giving</vbg> <nns>teachers</nns> <nns>remotes</nns> <in>for</in> <prps>their</prps> <nnp>PowerPoint</nnp> <nns>presentations</nns> <vbz>allows</vbz> <prp>them</prp> <to>to</to> <vb>give</vb> <nn>group</nn> <nn>instruction</nn> <cc>and</cc> <nn>individualized</nn> <nn>instruction</nn> <det>all</det> <in>at</in> <det>the</det> <nnp>SAME</nnp> <nn>time</nn> <pp>!</pp>
ffce3c1e1f8b22ae90f9ff71ef3ca8c4,<nnp>\n</nnp> <nnp>\nI</nnp> <vbp>teach</vbp> <in>in</in> <det>a</det> <nn>title</nn> <cd>1</cd> <nn>school</nn>
ffab071101de4dd0cb48c2779428fcba,<cc>and</cc> <vb>make</vb> <nns>predictions</nns> <in>about</in> <nn>weather</nn> <pp>.</pp>
ffab071101de4dd0cb48c2779428fcba,<prp>We</prp> <vbp>need</vbp> <det>the</det> <nns>tools</nns> <cc>and</cc> <nns>materials</nns> <to>to</to> <vb>do</vb> <det>this</det> <pp>.</pp>
ffab071101de4dd0cb48c2779428fcba,<det>The</det> <nn>science</nn> <nns>kits</nns> <vbp>are</vbp> <pp>.</pp> <ppr>''</ppr>
ff9f3c6267deffd31c5370119aff0e7f,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <cd>4</cd> <nns>iPads</nns> <cc>and</cc> <cd>2</cd> <nns>laptops</nns> <to>to</to> <vb>provide</vb> <jj>technical</jj> <nn>writing</nn> <cc>and</cc> <jj>graphing</jj> <nns>stations</nns> <in>for</in> <nns>labs</nns> <cc>and</cc> <nn>investigation</nn> <pp>.</pp>
ff922bf5da4a8e386ebbab5dc0925859,<nns>transparencies</nns>
ff7ee86d75a0165ed6dcc28d360f82b7,<cc>and</cc> <nn>inquisitive</nn> <pp>.</pp> <ppr>''</ppr>
ff68ab2a3d294ebec564cc5ba9132c9c,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <det>a</det> <nn>video</nn> <nn>camera</nn> <to>to</to> <vb>document</vb> <prps>their</prps> <nn>year</nn> <in>of</in> <vbg>learning</vbg> <pp>.</pp>
ff58292df1db84687dc7dc0ba5cb63af,<ppl>``</ppl> <nnp>Oops</nnp>
ff5761a3d99efeccd5283b77f8493c01,<nnp>Filipino</nnp>
ff54fc6c0b2c2ae18722f553f2978d3c,<ppl>``</ppl> <prps>My</prps> <nns>students</nns> <vbp>need</vbp> <jj>addition-subtraction</jj> <nn>kit</nn>
ff528fc3198462e02ed37a7190902f9f,<to>to</to> <vb>be</vb> <jj>able</jj> <to>to</to> <vb>present</vb> <prps>their</prps> <nn>power</nn> <nn>point</nn> <nns>presentations</nns> <to>to</to> <prps>their</prps> <nns>classmates</nns> <pp>.</pp> <ppr>''</ppr>
ff51c8b375e1c37b36cfa47ed7b4636e,<nns>activities</nns> <cc>and</cc> <det>a</det> <nn>tablet</nn> <to>to</to> <vb>help</vb> <prp>them</prp> <vbp>learn</vbp> <jjr>more</jjr> <in>about</in> <nn>character</nn> <nn>education</nn> <pp>.</pp>
ff51c8b375e1c37b36cfa47ed7b4636e,<det>These</det> <nns>supplies</nns> <md>will</md> <vb>help</vb> <det>the</det> <nns>students</nns> <in>throughout</in> <det>the</det> <nn>year</nn> <pp>.</pp> <ppr>''</ppr>
ff42a8644d5e500d0d399b9a933abccc,<ppl>``</ppl> <jj>Many</jj> <in>of</in> <prp>us</prp> <vbp>have</vbp> <jj>wonderful</jj> <nns>memories</nns> <in>of</in> <nn>school</nn> <nn>field</nn> <nns>trips</nns> <in>from</in> <prps>our</prps> <nns>childhoods</nns> <pp>.</pp>
ff42a8644d5e500d0d399b9a933abccc,<cc>And</cc> <nn>nothing</nn> <nns>fosters</nns> <nn>curiosity</nn> <cc>and</cc> <nn>wonder</nn> <in>like</in> <det>a</det> <nn>day</nn> <vbg>experiencing</vbg> <nns>animals</nns> <jj>up-close</jj> <in>at</in> <det>the</det> <nn>zoo</nn> <pp>.</pp>
ff42a8644d5e500d0d399b9a933abccc,<in>For</in> <cd>125</cd> <nn>kindergarten</nn> <nns>students</nns>
ff3b6aeb679f0668f23f63c6f7ed17c0,<ppl>``</ppl> <prps>My</prps> <nns>students</nns> <vbp>need</vbp> <nn>classroom</nn> <nn>recycling</nn> <nns>bins</nns>
ff3353a4502a2a2e462086130b285640,<cc>but</cc> <det>the</det> <nn>fact</nn> <pp>.</pp> <ppr>''</ppr>
ff3229db573c8be585e10c8fb1bf8db5,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <cd>35+</cd> <jj>easy</jj> <nn>reading</nn> <nns>books</nns> <in>in</in> <jj>Spanish</jj> <to>to</to> <rb>steadily</rb> <nn>transition</nn> <to>to</to> <nnp>English</nnp> <nn>proficiency</nn> <pp>.</pp>
ff258d0f99fec4950c4651992322f756,<prp>it</prp> <nn>is.</nn> <ppr>''</ppr>
ff1e15ed84cc653844ee8741fdab00e1,<ppl>``</ppl> <prp>You</prp> <md>ca</md> <rb>n't</rb> <vb>be</vb> <det>a</det> <nn>scientist</nn> <in>because</in> <prp>you</prp> <vbp>are</vbp> <det>a</det> <nn>girl</nn> <ppr>''</ppr> <ppr>''</ppr> <pp>.</pp>
ff1e15ed84cc653844ee8741fdab00e1,<prp>I</prp> <vbp>have</vbp> <vbn>heard</vbn> <nns>students</nns> <vbp>say</vbp> <det>this</det> <jj>many</jj> <nns>times</nns> <cc>and</cc> <prp>I</prp> <vbp>want</vbp> <to>to</to> <vb>change</vb> <det>this</det> <nn>myth</nn> <pp>.</pp>
ff1e15ed84cc653844ee8741fdab00e1,<prp>I</prp> <vbp>think</vbp> <in>that</in> <in>by</in> <vbg>allowing</vbg> <prp>them</prp> <to>to</to> <vb>start</vb> <jj>loving</jj> <nn>science</nn> <in>at</in> <det>a</det> <jj>young</jj> <nn>age</nn> <prp>they</prp> <md>will</md> <vb>grow</vb> <in>up</in> <vbg>believing</vbg> <prp>they</prp> <md>can</md> <vb>be</vb> <nn>anything</nn> <prp>they</prp> <vbp>want</vbp> <to>to</to> <vb>be</vb> <pp>.</pp>
ff1e15ed84cc653844ee8741fdab00e1,<nnp>\n</nnp> <nnp>\nI</nnp> <nn>work</nn> <in>at</in> <det>a</det> <nn>title</nn> <nn>one</nn> <nn>school</nn> <wdt>which</wdt> <vbz>means</vbz> <in>that</in> <det>the</det> <nn>majority</nn> <in>of</in> <prps>my</prps> <nns>students</nns> <vbp>live</vbp> <in>in</in> <jj>low</jj> <nn>income</nn> <nns>homes</nns> <pp>.</pp>
ff1e15ed84cc653844ee8741fdab00e1,<prps>Our</prps> <nn>school</nn> <vbz>has</vbz> <det>a</det> <jj>large</jj> <nn>majority</nn> <in>of</in> <nns>students</nns> <in>that</in> <vb>receive</vb> <jj>free</jj> <nn>lunch</nn> <pp>.</pp>
ff1e15ed84cc653844ee8741fdab00e1,<det>These</det> <nns>students</nns> <vbp>come</vbp> <in>from</in> <nn>home</nn> <wrb>where</wrb> <jj>many</jj> <vbp>do</vbp> <rb>not</rb> <vb>have</vb> <nns>books</nns> <in>at</in> <nn>home</nn> <to>to</to> <vb>read</vb> <cc>and</cc> <vb>do</vb> <rb>not</rb> <vb>have</vb> <det>the</det> <jj>appropriate</jj> <nn>school</nn> <nns>supplies</nns> <pp>.</pp>
ff1e15ed84cc653844ee8741fdab00e1,<nnp>\n</nnp> <nnp>\nI</nnp> <vbp>think</vbp> <in>that</in> <det>these</det> <nns>resources</nns> <md>will</md> <vb>get</vb> <prps>my</prps> <nns>students</nns> <vbn>excited</vbn> <in>about</in> <nn>science</nn> <pp>.</pp>
ff1e15ed84cc653844ee8741fdab00e1,<prp>I</prp> <vbp>think</vbp> <in>that</in> <det>the</det> <nns>hands</nns> <in>on</in> <nns>materials</nns> <md>will</md> <vb>allow</vb> <det>the</det> <nns>students</nns> <to>to</to> <vb>explore</vb> <det>the</det> <nn>science</nn> <nn>content</nn> <jj>further</jj> <to>to</to> <vb>spark</vb> <prps>their</prps> <nns>interests</nns> <pp>.</pp>
ff1e15ed84cc653844ee8741fdab00e1,<nns>Students</nns> <vbp>need</vbp> <to>to</to> <vb>realize</vb> <in>that</in> <det>no</det> <nn>matter</nn> <wp>who</wp> <prp>you</prp> <vbp>are</vbp> <cc>or</cc> <wrb>where</wrb> <prp>you</prp> <vbp>come</vbp> <in>from</in>
ff18a7fc92987752c9b559fbeac8f896,<ppl>``</ppl> <md>Can</md> <prp>you</prp> <vbp>imagine</vbp> <vbg>being</vbg> <det>an</det> <nn>author</nn> <in>without</in> <det>any</det> <nn>means</nn> <in>of</in> <nn>publishing</nn> <prps>your</prps> <nns>books</nns> <pp>?</pp>
ff18a7fc92987752c9b559fbeac8f896,<nnp>My</nnp> <nns>students</nns> <nn>work</nn> <jj>hard</jj> <in>on</in> <prps>their</prps> <jj>final</jj> <nns>drafts</nns> <cc>but</cc> <vb>have</vb> <det>no</det> <nn>way</nn> <to>to</to> <vb>print</vb> <in>out</in> <prps>their</prps> <nn>research</nn> <cc>or</cc> <nn>book</nn> <nns>projects</nns> <in>in</in> <prps>my</prps> <nn>classroom</nn> <pp>.</pp>
ff18a7fc92987752c9b559fbeac8f896,<rb>Also</rb>
ff171017fbb478be0f586b0fb4b84c39,<vb>listen</vb> <to>to</to> <prps>his</prps> <nns>words</nns> <pp>.</pp> <ppr>''</ppr> <ppr>''</ppr> <nns>Words</nns> <vbp>are</vbp> <det>a</det> <nn>window</nn> <in>into</in> <prps>our</prps> <nns>minds</nns> <pp>.</pp>
ff171017fbb478be0f586b0fb4b84c39,<rb>Likewise</rb>
ff0e3242b5c4b03e1b49b3761478bdab,<nn>ink</nn> <to>to</to> <vb>print</vb> <nns>pictures</nns>
ff0dd66b032f4f7e99487fbaedb39dd4,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <det>an</det> <jj>interactive</jj> <nn>projection</nn> <nn>camera</nn> <to>to</to> <vb>help</vb> <vb>demonstrate</vb> <nn>student</nn> <nn>learning</nn> <pp>.</pp>
ff0dd66b032f4f7e99487fbaedb39dd4,<det>An</det> <jj>interactive</jj> <nn>projection</nn> <nn>camera</nn> <md>would</md> <rb>really</rb> <vb>help</vb> <prp>us</prp> <to>to</to> <vb>show</vb> <wp>what</wp> <prp>we</prp> <vbp>know</vbp> <pp>.</pp>
ff01a126eac177e346fa4ebc2b131a33,<cd>2</cd> <nn>folding</nn> <nn>guitar</nn> <vbz>stands</vbz> <in>for</in> <nns>guitars</nns>
fef5bfe16821dad4d3a1c49957f23ede,<ppl>``</ppl> <prps>Our</prps> <nn>library</nn> <nn>budget</nn> <vbz>is</vbz> <vbg>shrinking</vbg> <pp>.</pp>
fef5bfe16821dad4d3a1c49957f23ede,<det>The</det> <nn>price</nn> <in>of</in> <jj>good</jj> <nn>nonfiction</nn> <nns>books</nns> <vbz>is</vbz> <rb>not</rb> <pp>.</pp>
fef5bfe16821dad4d3a1c49957f23ede,<cd>21st-century</cd> <nns>students</nns> <vbp>have</vbp> <jj>different</jj> <nns>needs</nns> <cc>and</cc> <jj>due</jj> <to>to</to> <nn>technology</nn> <cc>and</cc> <prps>our</prps> <jj>fast-paced</jj> <nn>world</nn>
fee5be385192cbd79c3d71b317d604a1,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <det>a</det> <nn>bookcase</nn> <in>with</in> <nns>cubbies</nns> <to>to</to> <vb>help</vb> <vb>organize</vb> <jj>academic</jj> <cc>and</cc> <nn>vocational</nn> <nn>training</nn> <nns>supplies</nns> <pp>.</pp>
fee32eeac09954a748672071c4842abe,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <jj>new</jj> <nns>activities</nns> <cc>and</cc> <nns>games</nns> <to>to</to> <vb>increase</vb> <prps>their</prps> <nn>phonemic</nn> <nn>awareness</nn> <rb>especially</rb> <vbg>beginning</vbg> <nns>sounds</nns> <to>to</to> <vb>be</vb> <jj>successful</jj> <nns>readers</nns> <pp>.</pp>
fedff2ee58bea56b0276440b88931677,<ppl>``</ppl> <prps>My</prps> <nn>student-actors</nn> <rb>desperately</rb> <vb>need</vb> <nn>quality</nn> <vbz>plays</vbz> <to>to</to> <vb>perform</vb> <rb>so</rb> <prp>they</prp> <md>can</md> <nn>showcase</nn> <prps>their</prps> <nns>talents</nns> <pp>.</pp>
fedff2ee58bea56b0276440b88931677,<prp>We</prp> <vbp>'re</vbp> <in>in</in> <nn>search</nn> <in>of</in> <det>a</det> <jj>magical</jj> <cc>and</cc> <jj>worthwhile</jj> <nn>play</nn> <to>to</to> <vb>perform</vb> <in>for</in> <prps>our</prps> <nn>school</nn> <cc>and</cc> <ppl>``</ppl> <ppl>``</ppl> <prps>Our</prps> <nnp>Town</nnp> <ppr>''</ppr> <ppr>''</ppr> <vbz>is</vbz> <rb>just</rb> <wp>what</wp> <prp>we</prp> <vbp>'re</vbp> <vbg>looking</vbg> <in>for</in> <pp>!</pp>
fedff2ee58bea56b0276440b88931677,<nnp>\n</nnp> <nnp>\nMy</nnp> <nns>students</nns> <vbp>attend</vbp> <det>an</det> <jj>urban</jj> <nn>Title</nn> <cd>1</cd> <nn>school</nn> <in>in</in> <nnp>New</nnp> <nnp>York</nnp> <in>that</in> <vbz>has</vbz> <rb>almost</rb> <det>no</det> <nn>budget</nn> <in>for</in> <nns>supplies</nns>
fede33aaf219e7b6abcdb8b866debfe9,<ppl>``</ppl> <prps>My</prps> <nns>students</nns> <vbp>need</vbp> <nns>materials</nns>
fed22c08c185643dff2901cbba47ce6e,<in>like</in> <det>the</det> <nnp>Frog</nnp> <cc>and</cc> <nn>Toad</nn> <nn>Audio</nn> <nn>Collection</nn> <cc>and</cc> <det>the</det> <nn>Duck</nn> <in>on</in> <det>a</det> <nnp>Bike</nnp> <cc>and</cc> <jj>Other</jj> <jj>Favorite</jj> <nnp>Stories</nnp>
febd4ff8f19e89e4159fec18d5f04fbc,<nnp>My</nnp> <nns>students</nns> <vbp>need</vbp> <cd>3</cd> <nns>sets</nns> <in>of</in> <nn>read</nn> <in>along</in> <nns>books</nns> <to>to</to> <vb>read</vb> <in>on</in> <prps>their</prps> <rb>just</rb> <jj>right</jj> <nn>level</nn> <pp>.</pp>
feb51da44bc664269e95db311afe6c2e,<ppl>``</ppl> <prps>My</prps> <nns>students</nns> <vbp>need</vbp> <rb>daily/weekly</rb> <nns>planners</nns> <to>to</to> <vb>help</vb> <prp>them</prp> <vbp>stay</vbp> <vbn>organized</vbn>
feb122de5b9eb43adc3ff4bfce5444f5,<ppl>``</ppl> <in>As</in> <det>a</det> <nn>classroom</nn> <nn>teacher</nn> <prp>I</prp> <vbp>am</vbp> <vbn>overwhelmed</vbn> <in>with</in> <vbg>trying</vbg> <to>to</to> <vb>schedule</vb> <jj>enough</jj> <nns>minutes</nns> <in>for</in> <det>all</det> <in>of</in> <det>the</det> <nn>content</nn> <nns>areas</nns> <det>every</det> <nn>day</nn> <pp>!</pp>
feb122de5b9eb43adc3ff4bfce5444f5,<prp>I</prp> <vbp>am</vbp> <vbg>wanting</vbg> <to>to</to> <vb>integrate</vb> <prps>my</prps> <jj>social</jj> <nns>studies</nns> <cc>and</cc> <nnp>ELA</nnp> <jj>much</jj> <jjr>more</jjr> <in>in</in> <det>the</det> <jj>upcoming</jj> <nn>school</nn> <nn>year</nn> <in>through</in> <det>the</det> <nn>use</nn> <in>of</in> <nns>novels</nns> <pp>.</pp>
feb122de5b9eb43adc3ff4bfce5444f5,<prp>I</prp> <vbd>chose</vbd> <cd>two</cd> <nnp>Andrea</nnp> <nnp>Warren</nnp> <pos>'s</pos> <nns>works</nns> <to>to</to> <vb>use</vb> <in>for</in> <nn>content</nn> <nn>teaching</nn> <nnp>\n</nnp> <nnp>\nI</nnp> <vbp>teach</vbp> <in>in</in> <det>a</det> <nn>Title</nn> <prp>I</prp> <nn>school</nn> <in>with</in> <in>over</in> <cd>80</cd> <nn>%</nn> <jj>free</jj> <cc>and</cc> <jj>reduced</jj> <nn>lunch</nn> <nns>students</nns> <pp>.</pp>
feb122de5b9eb43adc3ff4bfce5444f5,<prp>We</prp> <vbp>have</vbp> <rb>very</rb> <jj>little</jj> <nn>parent</nn> <nn>involvement</nn> <cc>and</cc> <prps>our</prps> <nns>students</nns> <vbp>have</vbp> <jj>little</jj>
fea6f994b117104baa02086fd74236d1,<ppl>``</ppl> <prps>Your</prps> <nn>imagination</nn> <vbz>is</vbz> <prps>your</prps> <nn>preview</nn> <in>of</in> <nn>life</nn> <pos>'s</pos> <jj>coming</jj> <nns>attractions</nns> <pp>.</pp> <ppr>''</ppr> <ppr>''</ppr> <nnp>A.</nnp> <nnp>Einstein</nnp> <pp>.</pp>
fea6f994b117104baa02086fd74236d1,<nnp>My</nnp> <nns>kids</nns> <vbp>want</vbp> <to>to</to> <vb>have</vb> <det>the</det> <nn>opportunity</nn> <to>to</to> <vb>use</vb> <prps>their</prps> <nn>imagination</nn> <cc>and</cc> <vb>be</vb> <jj>able</jj> <to>to</to> <vb>explore</vb> <det>the</det> <nn>world</nn> <in>in</in> <det>a</det> <rb>totally</rb> <jj>different</jj> <nn>way</nn> <pp>.</pp>
fea6f994b117104baa02086fd74236d1,<wrb>How</wrb> <jj>exciting</jj> <nn>will</nn> <vb>be</vb> <in>for</in> <det>a</det> <cd>5</cd> <nns>years</nns> <jj>old</jj> <to>to</to> <vb>be</vb> <jj>able</jj> <to>to</to> <vb>see</vb> <in>through</in> <det>a</det> <nn>microscope</nn> <pp>?</pp>
fea6f994b117104baa02086fd74236d1,<nnp>\n</nnp> <nnp>\nI</nnp> <vbp>teach</vbp> <det>a</det> <jj>bilingual</jj> <nn>kindergarten</nn> <nn>class</nn> <in>in</in> <det>a</det> <nn>Title</nn> <cd>1</cd> <nn>campus</nn> <in>in</in> <nnp>Texas</nnp>
fe8d34db3c88fc4ada21dc17900f22c9,<ppl>``</ppl> <md>Can</md> <prp>you</prp> <vbp>remember</vbp> <det>the</det> <nn>thrill</nn> <in>of</in> <vbg>learning</vbg> <to>to</to> <vb>read</vb> <pp>?</pp>
fe8d34db3c88fc4ada21dc17900f22c9,<prp>I</prp> <vbp>get</vbp> <to>to</to> <vb>see</vb> <det>the</det> <nn>delight</nn> <in>in</in> <prps>my</prps> <nns>students</nns> <vbz>faces</vbz> <jj>daily</jj> <in>as</in> <prp>they</prp> <vbp>discover</vbp> <in>that</in> <prp>they</prp> <md>can</md> <vb>read</vb> <jj>new</jj> <nns>words</nns> <cc>and</cc> <vbp>are</vbp> <jj>able</jj> <to>to</to> <vb>progress</vb> <in>through</in> <prps>our</prps> <nn>photo</nn> <vbd>copied</vbd> <jj>black</jj> <cc>and</cc> <jj>white</jj> <nns>readers</nns> <pp>.</pp>
fe8d34db3c88fc4ada21dc17900f22c9,<uh>Oh</uh> <nn>what</nn> <det>a</det> <nn>difference</nn> <nn>color</nn> <nns>pictures</nns> <md>could</md> <vb>make</vb> <in>for</in> <prps>their</prps> <nn>comprehension</nn> <pp>!</pp>
fe8d34db3c88fc4ada21dc17900f22c9,<nnp>\n</nnp> <nnp>\nMy</nnp> <nns>students</nns> <vbp>are</vbp> <jj>bright</jj>
fe8aabf5b387327057e3b927d36e9285,<ppl>``</ppl> <prps>My</prps> <nn>student</nn> <vbp>have</vbp> <det>a</det> <jj>limited</jj> <nn>exposure</nn> <to>to</to> <nn>science</nn> <cc>and</cc> <nn>nature.The</nn> <nn>project</nn> <md>would</md> <vb>give</vb> <prp>them</prp> <det>the</det> <nn>chance</nn> <to>to</to> <nn>photograph</nn> <nn>nature</nn> <cc>and</cc> <nn>science</nn> <cc>and</cc> <vb>bring</vb> <prp>it</prp> <in>in</in> <to>to</to> <det>the</det> <nn>art</nn> <nn>room</nn> <pp>.</pp>
