projectid,title
fe6e51a8b98a7b22b84d8547142c2198,Young Beginning Readers
fe64937edbdf2bfad91d716b17103993,A Picture is Worth a Thousand Words
fe6027c8fa6eaffdb41b3c1a8c442c9a,Nooks for Our Reading Nook
fe53571f88a1b2ce37c76df7016c2087,Help Our Children NOT Fall Behind!
fe513bcf9d202db85401f65e4ff193f6,5th Grade Dancing at the Music Center - We Need a Bus!
fe45863e55ffb801fed331d456f775f7,Help Me Write!
fe4437d288ea86e4a22c3e9bf4247232,iPad Learning
fe41516b9bc3e615f657f09b60105275,"America
fe3611442b4b1c07c652ab96e9d1c4f7,Mailbox Of My Own
fe3013f982b69a41241bf18fc6e11aeb,Space Exploration: Building Telescopes
fe2f19966113506c2a4139bcd23c3ff8,Hands-on Learning Needs Hands-on Materials!
fe23943118510c60c1f62b87fa797feb,Outdoor Learning in Pre-K: An Interactive Garden
fe21db52cdccfe7fb7059130fff74fc1,Special Kids-Special Needs
fe20746c15bc637446cff9e6e2a38e4f,Magnificent Math Fact Masters
fe1db3fdcf34d64e24c836de582556bb,Focused Learning Brings Progress
fe0613c0096ae2833bc78dc73ac0858d,Digital Cameras To Create Digital Yearbook!
fe06057393bcde039b55ef561af4ae52,Winning The Pencil War
fdfe1f85cfca54a5d85e6bd5fb0c723c,Library Books We Love To Read
fdfbb52e4327f8239c412ad9981a42b1,Chugging Through Chapter Books
fdeb6e72397f7e3a98c081f11288710b,Help Pre-K Get Into Shape
fde745a0ed4b7054511021a7660e97b2,Illuminated Legal Vocabulary
fdd89206b867da46d64ca3ba7db1a49c,Buzzing With Excitement!
fdcba659a91c2981e1dd87c960b11aa4,Broadening Musical Horizons with Supplemental Curriculum!
fdc99471cd90a17b6d1d6e720d762a39,Perfect Pictures for Learning
fdc2f95fb3f7b68752d9e2ce0d34d829,Making Music With Technology
fdc07b78c812bdb43df8241476706290,Creating A Bridge Between Books And Technology
fda702e46d04fe9ebc66a4f536a367f4,Indian Literature Unit
fda6e6cea7c73018f1863cc03cc2bdd9,Technology Is The Way Of The Future
fd85cf3cf2c01e9efe52e6521f5af5f2,"Would You? Could You Help Us
fd7dc2efab7b13f9d5e87198a76223dd,Technology on the Go
fd75f8a8adbf1e4f230652568c7cfefe,Yo No Comprendouuuuuu.... I Don't Understand!!!
fd72379aa2479e3edbf35d81db56c30c,Sharing Student Work
fd6ef80e458eb5c6e95e2996fdc9c403,Ancient Technology + No Printing = Inefficient Monitoring
fd5a8851c6ec0e3374625badbfd8f529,"Un-flatten Our Instruments
fd556f9a880a36198a57cd8609a015a9,Nooks in the Library
fd4d24d19b3529af3fc8c4ac9e4832c8,Ravenous Readers Need Books!
fd32cd9f11824f4073a3badaf23aee5b,"Starting The Year The ""Write"" Way!"
fd31c28ba2cbfc1b9dcd10a3f9855aca,A New Face for Our Fun Place
fd2c45e3200ec8e5693f61cbc03b8185,Portable Technology
fd299b2503705f7ecc6e3540a1c58c25,Collaboration = College and Career Ready
fd150646e5c8d56ea314269ab11b6bc1,Interactive without disturbance
fd07a3a518966c34dc9e1812bdef0eea,Book Buddy Bonanza!
fcf5e71151c4b90f23ff18dc387e8594,Art History
fce0b706279e078b35c2a84c9dccde07,"Help Us Learn to Count Pennies
fcdc774002cc16bc0655bd1929ad888e,A Love for Literacy
fcdc5bf85d15f02d25e7d11b2e232370,Tornado Can't Stop This Counselor
fcd2adcfcb903ca230748347c89c6764,My Students Need Mailboxes!
fccc78461d8c881df7b3b8c354168cb0,Watch My Students Flip Projects
fcb774795d7047c0747ef84a4ebe2bd0,Photovoice: Promoting Literacy Through Photography
fc92ee26be34200e9e0a05330e4301be,Knowledge Seekers Need Books!
fc832ddd5875aaad9d6d18d463cbbc62,Scientific Inquiry for Life-Long Learning
fc7edabfaa80379bdf47dc3fa9903bff,So Serious About Books in a Series...Part 2!!!!
fc7d211df55021b8f2c90a1de5d4849f,A/E is for Acoustic/Electric
fc796070df8ff3a8f4ccc027507b7472,Can We Get That In Color?
fc70a0f038b6581f4ab591b173818df6,Printer Ink for a STEM Math Classroom!
fc5bb53df405f42ba9d5d6dd554b0b7e,Ready Readers Need Books
fc5322f0fd22e0ca7f54f7d30cd7e509,Libros Para Ninos!
fc4df543227a1e9f8f18bf26acc9f63a,Creative Kindergarteners Make Math Count!
fc3eee04629a6f2ca8e194d57f7e377a,Battles Of The Civil War
fc2b936008e81db21b331cdf2961a66f,Typing Bullies Away
fc287dea89fc9f7c3e2c52fb77e73176,A Crash Course in Crash Cymbals
fc183150bb52edb500688cc11bc59412,What's Math Without Calculators?
fc1404392d319439a146d3e9d3749a3f,Seeing is Believing: Open Our Eyes to Learning
fc0a1cba019388e6b53fcb2d89e967d1,Inkers
fc0a09a460736fdc8b99532772d0e92c,Our campus needs basic supplies! Please help.
fc03e38c5babef84840983ade30fc56f,Let's Get Board(s)-- GO GREEN
fc03d53f7eea6bbf3740ad56fb600330,Seeing is Believing!  
fbe28a2305421ecc7353bf519885dbda,iPods = Student Engagement!
fbdb59c537083cf326cb99b4c08ad83c,High Interest Books for Kids
fbd8309d652e2cb67c47b5750eadbc3b,Numbers Are Fun!
fbd5aeea8017d165787a57dfa58990df,Help us Learn to Read with CDs and Our Favorite Books
fbd4eebfa50e971902f82fd2929e2d73,Technology to Enhance Learning!
fbc613c157c1e0425e1d6097dd432cda,Amazing Alvin Ailey Adventure!!
fbc250141cbba07abfe639be831540a6,Accelerated Mathematics
fbb7a31f26bc722ac616b322e73a793a,Opening the Door to Common Core
fbaf055476e63c9995b46dc0cad247e7,Listening to Learn!
fba75324e16c05352a6d5849e2ccab2f,Neat As A Pin!
fb94fea70600ab89287dff76c7ae7d74,Guitar Class
fb9151dd4f6504eaa4d08a1ad6fc2c60,Games and Learning
fb8d21c539b309c9acf89e2adb705bab,Starving Minds Need Books-Digital Retelling
fb7d9d8ece1cd108e726d44c15ef1d72,Art Around The World
fb725dedf6a861a6800bd02278684cfe,Books and Area Rug 
fb678de20b6a2a1dbd643ef9f2ac26f5,Future Scientists
fb6748d6b1daca5a1bd01e55ada30837,Great Kinder Mathematicians: Counting Workshop
fb5e2cd5d73be5dcdf8825a8372616ff,Empowering Students Toward Numeracy!
fb57593acc65e5d227d777d2ee4e3389,The World's Most Amazing Classroom Library
fb524169e139a6c97e999016b9e0202d,Machu Picchu Or Bust! 
fb4a93ad3867ae5bc35e4a6388004804,"A Love for Reading""...The Pathway to a Successful Life."
fb40c93fb23d4e5b11554eef9fe9977e,What's The Relative Humidity
fb3d063b26f1956ae9c30be9d9c591db,Financial Education Is an Essential Life Skill
fb3cb1861cca34dcc8ed72f8f53a5d22,Learning to Write with Books
fb1edcd0590b54f20f631c28eef61920,Chemistry Supplies
fb196eea85f053878aa897bfd5662c76,We Love To Read And Need Your Help
fb104dc29b41c1410ff76880ea632c80,Replace My Prehistoric Computers
fb0ee5a05bb1ae41893c0698427a6de0,Learning Through Projects
fb0be371246774898821081c917f0357,Real Math! Real World! Real Results!
faf84dc129b5e18e3ac92f15830d7d24,Grasping the Grammar of Our New Country
fae48a58ce66a99beeee45cfe2f1acbe,Reference Materials for 2nd & 3rd Graders
fadce2fcee9b226bbfb0a1fbd7ea0193,Go Picture
fadc06934a986d8d0fa3ac3752bc939c,The Immortal Life of Henrietta Lacks
fad547d132a97201a18d529478d3302f,Project Discovery: Open Our Eyes to Science
fad20f3a3b5108878311d5e65e7af6e1,Creating Confident Learners!
fab86e2dadcd0d82c77f5b0b07cd2654,A Large Classroom Library + Colored Paper = Engaged Students
fa8cb93d21d102c4c29e0f68230e0291,Help Fair Weather Students be Excellent Weather Students!
fa72cf84bf7dbbccec649937f832afcd,Math Masterminds
fa6813a2a5cfd60e7a43ddacea402335,Books Books Books!
fa546f2d3bedfb4e1bb57974f8d02cf8,Active Listening/Learning With Technology
fa4efcdbd948f2f91a73ffb9db36c5f4,"iSing
fa4355677f5f36c7836ce459b0d9f78e,Learning to Love Literacy:  ESL Students Need New Materials
fa383671443fc4926924bcae0a09384f,Starting Early with Technology
fa2ed854241b575fdd2dd1a640b20e13,Let Our Children Be Heard!
fa2aa3e12713716d9c4c2e9c8471095d,"Technology
fa263fd0282508efdd68e4cff4a94be7,What Do We Need?  BOOKS! When Do We Need Them? NOW!
fa23a0e4ce4470e9e2fbcc0e33caa415,Learning Is Fun!
fa1e85504df3cc61f691f71a12aa6859,Help Give My Ugly Library a Make-Over!
fa14fe4592b4aa27e9ab410d9e119e24,Class Reading Center
fa08bf68af4b71cc2d86008420d43865,Comfortable and Clean in My Preschool Classroom
f9fcf72e1a7c04b62ac1aaf589b1cc20,Listening Work Station
f9ebd969533ed83b8cc334d3d53a46f0,Save us in Sixth!
f9e4ab84167597423d03e8d925e8b06c,Please Help Our Struggling Readers
f9c1f1e0263b142dc4b08dc1fbae8af0,Creative Thinking through Play
f9bea941196f23f8e6f215037190720d,Listening Center Needed
f9bac33fe00b79e53d31c3aed70a3a7c,"Say ""CHEESE-Louise! Where's The Camera?""  Yearbk Needs Pix!"
f9b1bf0158ac1715c2f8c926e61311b9,Print It
f9abf449a02b614fdc8913a9efcae458,Engaging Students with 21st Technology
f9a6563cb70594681998755a072ba432,Create Social Thinkers
f9a492368115bfba229327442a8472c0,Laptop Learning: Learners On The Move!
f98be197c629554fe450c0434840cb66,Tech Savvy Third Graders
f981dcd6c04a23afa558ae32f8b93626,Building Money Skills Begins In Kindergarten
f97f06a8870006b3446970f439d2c9a5,Technology in the Science Classroom
f97dd936a54698d4720076dc1777bdb2,Math Goes Interactive! Assist In Teaching With Envision Math
f97d6ac1d110bade1674a20970315222,First Generation Of Young Men Go To College
f9779327975e88b5721456a195f27ed9,Planting Our iPod After Hurricane Sandy
f9673428c44a3cbee157b6d343eea417,Fantasizing About Reading
f966070ee0eeca174005ba4666c03be2,We Need Math Manipulatives! 
f94eb87a0613ae1f48d5d876bca9ed6b,Help my Beginning Readers!
f9432f1868b8d8970269c6441afe2365,Math Mania
f93ac87f3df553474acfa0368a5c1807,Arctic Animal Books
f933411ddf5279c44e16d13005d4218f,History in Our Own Words
f912ae9129c1df394d1d262cf08d8199,Art Smart
f90433d3a1969c23ccc82243fed4c831,Social Studies Is Sensational!
f8fc186f5b80ff61d062e482c5124a47,Creating Independent Readers
f8f8be1572dabe15fe08da818d92bffd,WE Are DIGITAL- Digital storytelling and Writing Project
f8dd2b14857d149283033dc911b57321,Presentation is Everything
f8c4a4f11e9b5343b3daf2066d2b0052,Real World Math
f8a4e97e651508a801459c9b4378ccce,Keeping Those Memories Safe
f89dc74d4ff0215b174bc1d8605a5b9b,Drawing
f8819faaa2777cc00288121fa5aef3a0,Banish the Basals!
f877deaad74c7b775066e2d89a743de6,Need to Read!
f874d947da632ee1936ce945b9555c54,Read Baby Read!
f8632a2d7d82c0524efc2a45ee3c8dbc,See It In Color!
f85943fa36e1e39a48af8a1a82e9b5a6,Cheer On Team Super!
f84fbdf6bf652f5d3efcfa90b232bb5e,Can You Hear Me Now?
f84a7146d69e86ba7a6c848f2b356db9,Centered on Math: Making Math Fun With Math Stations
f832e566ff55f380470f3d98e59e54ab,Student Exploration With Technology In All Subjects!!
f81ae665bd63d578e5290ce755ddd645,Easel Learning: Cooperative Learning with Portability
f81918907f6e1b44fb37abef41c231b3,Creating a Pod of iPods!
f80153503cffd7e84da8811777f92ae3,Ants OUT of My Pants
f7f01ac6ab9f3c82bdcab51d03fc3e15,Setting Sail on a Voyage of Learning!
f79dd0e1cec90062c2d98c4a94ca2068,Handwriting Without Tears
f79934855bbe13866fd6f491bc80bfe8,AB Calculus -The Infinitely Small Will Conquer The WORLD
f7989ac7280ac79e1059b4689bd06833,Green Thumbs
f7977422d3d04468216bf68f95945e18,Building A Library For Reluctant Readers
f796a8a7097c729b2a37085595cf6266,Hurrican Sandy Hit Our Community in Far Rockaway
f78c7f9de5ebf70c1e1cfceec679bad2,Marvelous Math Facts Friends
f775919bda51bf8f068cb49c9c474ac7,Righteous Readers
f7699f081dc5fddbda6843aaf5827e1f,Low Income Needs Help During Recession
f7561c9a94e29bb0fefe9c3f080263ab,Document Camera for Math Class
f754c540c64157e4932a177586a6f758,Hands-On Math
f75027e6dd8152c7e064189b315ef20f,A Cozy Corner
f74d5920ae7b93c03d50c21b5020bc4d,CPR Awarness (Physical Education)
f74ce15908ef026b4acbe1848a7c75b5,2nd Graders And Feed USA Perfect Together Again
f740efd52824022d412a4739615b831b,We're Turning Readers Into Leaders!!
f72dbc1e3580a9f6de43aa3a73bd57c7,Book Share
f70d4c8593315c04c3f26a5c6f316d40,Bringing the Global to the Local
f6ff19e8ac5972d805ac5094bec2cc66,It's Time For Kids to Read All About It!
f6feb218617418e39c360ac8a284b6d7,A Space for Every Kinder and a Kinder for Every Space!
f6f7c0c41ef64c855d1abe50bfb0251f,Classroom Projector for Lesson Display and Practice
f6f43974202506013c5d7e0bb01afdae,"Lights
f6ecb18f837be4f3089f22b08babe80d,Economics Through Literature!
f6eb6b6e207fef223a9d5a7875b1a7eb,Stepping Up To Standard: Literacy Library
f6d1b63f587de5b111f22e8cdc55d830,"Write Math
f6aefb85cd7258294696fb6088c272ca,Space Savers For A Matchbox Classroom With Tiny Tots
f67f79be66137c522f9b50d0bbc7becd,We're Mad for Math!!!
f67c4e0b2bf0a57bd0f164e848465409,Getting Organized -- It Starts in Kindergarten!
f67b636426fea563153adc961c7c6690,The Literacy Benefits of Listening!
f67a29357b5683d45f96c09d2977449a,"Technology: IRead
f66d0f321bc3dc80bcfc37493607b96a,The Leader In ME! 7 Habits of Happy Kids!
f649c391fdaedc718c83bd7902dbd5ee,Marvelous Math Facts 
f64784a37bb38411c87c088c6ac45ade,Engage My Students Through Technology
f637f789b51326ecb80b088f44c9b3cb,Recorder Storage
f628e240af059821e56f93424b376b13,Ready ... Set ... READ!
f621bbb07dce5cee25979d60b768d854,Nooks Make Reading Exciting!
f6179c38411b3a979ece38fabc10decd,Teaching Japanese Arts and Culture in Elementary School
f60254a554615090eeb4f4409c950c22,Reading Center CDs to Support Emerging Readers in Kinder.
f5e75528700d56e0fda7c38b39560aa0,Fiction . . . Always Has The Possibility Of Being About Oneself
f5c64dd9922d47bffde497f715452059,"Help Us ""Read All About It"
f59b5ad648f836e65b0714f717c5cb23,Increase Our Brain Knowledge
f58f0f425ab0581b34f337b9565ef649,Ringing In the New School Year- Bells for Music Class
f58158c6ebc3d8625d6937d53a9bc25d,Hands-On Project Materials
f5709383348a0dd6e266fddda534da29,Help Us To See!
f5703a240e9b89f2546d0d0e42a8f3bd,Mathematicians in Kindergarten
f56ae36ebb3025a01af48c2092c2fc8c,First Grade Artists Need Materials
f56a10a55acfe2de9c29bea23aa03e2b,"Flip with Us
f55cf738702217498bc722f6f3a290a9,It's WOW Time! (Working On Words)
f552f74820026d274bb9c40224e1cc22,Learning through Literature Sets
f545fb6d97ee0faaceff04aca81ee87f,Ceramics!!!
f53cb793d198abe11bd7b53f22e1db64,iNeed some iPads
f52c730fbaa81eb783ab09dc6da8836f,Every Little Bit Counts
f52c51d5974916a61ed3a15ef508f7ad,Help Us Listen To Reading!
f526280e4a63dfe03018b85ed78e5eed,Christmas Bells Are Ringing
f5202b820fd2486190643823251d67ad,Classroom Museum of Alternative Energy and Life Sciences
f51ef0c88223f73e162ee4dde29e5f58,Innovative Readers
f5161a48d7ff224c720a6a41ae1b5057,Learning Math with Hands on Activities 
f50e2a867d28abede1ea2d7fbf001082,"Ready
f4f5c91f17f8ff658be89babc16182fe,Read To Me <--> I Read To You 
f4e912244401d0affa7379b60f665482,Young Minds and Ears Need Literature for Listening Center
f4e749b742665c76ed1be44b8df77732,"Supplies
f4e06fae22da28b63b960747e56aa6d5,Building Keyboarding Skills
f4d4bcef27419a3b390a69cc68312fd6,A Book Is A Present You Can Open Again And Again...
f4d0476814fe490c1186264f4855bca2,"Clean the Clutter
f4cab7001ab229825423e1e012e40505,Computers at My Fingertips
f4c4acbcc17929121fa017e2458e3ed7,Growing Up Financially Literate
f4c2a3a68bc7cab046fa9d012d4af56d,Sensational Sculptures
f4b2876adde94f3838ba22177f711f0a,Help Our Students Focus So They Can Learn!
f4a90e6b2ba9e8db2c55927d20709c9b,Learning Science Beyond the Surface
f49cd50b3f379f2557b034dbafa10181,Child Soldiers in Detroit
f49c9bab0253181c085746b5c44593bd,Technology......It's our future!
f492bac0775a18c489eb54403dbe6801,Classroom Library: Books on Students Reading Level
f48a9d99369d3f855610de010b332c7b,"We Must Learn Letters
f4874ac764fcb20c8d263ef4ba14a0a1,Useful Reading Centers
f4820819b9c3222c91a5a5afb543b38a,Help Us Become Fluent Readers!
f478f30797c8a1862e51a781f9db24ce,Pull Out Puzzle Place
f4736fa3d3d20d5c299b6201d662b257,Creating a Fun Learning Environment
f462d0d7fc1186e494cacfeedef48662,Language Learning Domination
f459d6a8cc9bdb0a950bcece72fff151,How to Live a Lung Life! Smoke Signals for Teens
f44fb6bb5cec73ce05eed4f9021d09f7,A Computer for FIRST Robotics Team
f44ad92593dc63a3f13ce62ce2e51953,Financial Planning Education (The Gift That Keeps On Giving)
f444164bc30144fd7669bd7690628bb5,Student Atlases
f442d185fb49b00995d073ecfa8f3e2d,"Learning with  Boardgames
f43c25f5827feb1fff2f928ba5659bd3,Muslin and Fabric
f4335200af1659bd83facbdefa16dd09,Cribbage for the Classroom
f427806ada57eba1fe9f085cd0ca5062,iPads For Intervention
f420f89b812d2d4c5aef92f64020e648,"Wonderful Writers Looking for a Role ""Model"
f4179713fb7c3a439b0d40c1c88b2bc1,Kindling Out the Fire on Bullying
f404799fa6b22621874db40a469271fd,Reading is a Great Way to Spend the Day
f3fb29870ce2af41cc3b961ec458e827,We Are Readers And Writers
f3f3af771d77ec47a995fba4005f1b24,Kindle Reading!
f3ef7e6e49712493e606982c7b3a3521,"The Best Part of Me"" Photography Project"
f3e1323f8df45fda317a82b02ce5753c,"Discover it
f3d55b7835e69b7fba3666c8b6da60c7,Launching Learning Through iPad Minis!
f38d9ac4be77e9a0aa26141ef12c74ed,Hands On Technology
f384dd2ddb65cc2b2ac23b2308c02a7d,iPad for Inner City First Grade Classroom
f37f7fe01758b52ece0d67d5c73ffa47,Help Us Get Creative!
f379305b9b959a3bec5dda0c4aa268d6,Sí Se Puede
f3774c9b26eb470c5293d37c14518164,We Need the Basics!
f3668999b160e4b05b39e637e6eee8d8,Clever Comprehension
f35cffceccde67d35fcd5c65e97f9411,Need  Calculators (TI-83 plus) for Calculus
f35ba8d37a980c5c701f323c4fc7540a,Lenovo for Learning!
f35a172ad42b6d43a76390eccd9b0c31,Even Hungrier For Literacy
f3591778589c0176ac8ed6c2942a2bc3,Mrs. K.'s 1st Grade EL Class!
f34ab49dbb00b273e37d7dc57f837fe5,Put Your Back Into It
f34aad43e1323bda505619e795bfc27d,Experiential Learning Projects
f34776e727be5bc7061ca716818fe0f0,Fire Up Our Learning!
f33fea78ffe11fd913eff0944805301a,"iCame
f337d8e760125e591fda664d3b8f29ef,Robotics: More Than Meets The Eye
f3258395077129f3a0cd82b432945244,"Free at Last! Free at Last!"" Part 2"
f31d7d38e8eb508dfc026235056c1be7,Books For Our Classroom Library
f315054f9bcf93ed93356858ef752f7b,Spanish Language Enthusiasts Work Revealed
f31461c286dbfa16df8a485624a07578,From Silence Is Golden To Beautiful Music
f30e0f300b5eb3f0196acf608abb9798,What's A Kiln Without Shelves?  Useless!
f2fe6dc0b5c45b58304e4b22c778343b,Books On Display
f2f1a2af59e2839fce1568e12146a270,Outside Our Four Walls...Learning Happens!
f2c55b727cf29c96a37875b95a84aa86,We Ought To Be In Pictures
f2c04fd37bb28cc3d3422d96c7062a92,STEM and Robotics
f2bed39726d791575bf50ee2fda8de99,Financial Literacy In Kinder!
f2bc1fa416ef5d9b6f38bb932e38d441,"Wanted: One Graphing Calculator
f2a7b994961219e8ff398d01832461bc,Mimio Needed
f2a334a7a52f414199af82e2619d9e16,"Our School Needs Playground Equipment
f2a307de2f5bfcc936d7f333d5a8ecd9,Critical Reading: Never Take a Text at Face Value!
f285e5bc1c217b51877740fac028969e,Computer Fun
f2700427e0816a3f423fc11a4250439d,"Tablet
f254f18320a689f74bb314ab20b29eb4,"Glitter
f24deb1b1479db5dd1458502e7e6a1f2,Art Room in Need of Digital Cameras
f247d335716a83d3283675bfc1238810,Tech for Middle School!
f21e5e26c1d2a8fc8186a2b851dd6348,The Benefits of an IPAD in My Special Education Classroom
f2110149ada862495642d21a2830728d,Bringing History to Life!
f1fd646aa7103c2bc9a3ed06564acfff,Technology from the heART.
f1f226a8309830570166db65dcc7629c,Basketballs For At-Risk Students
f1eed0ba37715ce25eccffe9fd7bc914,Help!!! Our Classroom Library Needs A Makeover!!!
f1e7b525905c4257f56bb80f12f03392,Big as Life History: Historic Artifacts for All
f1df7014eb33718fd6926191ddff45ec,Raising Readers: Setting Up A Top-Rate Literacy Program
f1d945b9d979cf82ee44667268792654,I Can Write All Lower Case Letters!
f1cf015e1a23bb5545be0176b2743425,Bilingual Book Buddies
f1c2448b3ede400b740c63c8fe33fe95,Show Me The Time Scale Models
f1b3a2348ca080275545aa49e3d1f296,Learning About And Valuing Our Differences
f1a9b76c7c7771c02b4468729a57de44,21st Century Learner
f19c175637b1744538864cbba740ecf9,Students Need to Understand Civil Rights and Diversity 
f1906e244842b4b406cd51d3ed300358,Scholastic News Magazine = Fun Informational Text Reading
f189186e30dc91b49b24818b0f26d140,Student Leadership Initiative: Students Saving Communities
f18066ecc0c8c6f00597f8a71bcd6fff,Technology for My 21st Century Learners
f17f95c497ba6e6db740cb1f7e732338,Exploring Through Science
f1748851dc080edc24b03a1bc97f34d7,Let Us Listen
f172bdfc8c1ec6e2e2230a68a5cbc8ad,Kindergarten Math 
f16a8ed0e731a792e98a329e241ed4f2,Art & History Go Together Like Peanut Butter & Jelly
f167a790df8ea87773ffc1f346527931,"Low Tech
f14971de246d844e15023d88e4b730bc,Book Battles!
f1442758164188b8cb1192f14bdab014,Computer LCD Projector For My Classes At A Turnaournd School
f1438c4d46e06de210638fd6918064f9,Mats for Movement at the CCCEPA Performing Arts Magnet
f14351fc41f92b558bfec0067578c9e6,Little Artists Need a Magic Carpet!!!
f1217c085abc887ad914c68bc1afc3e6,Fun With Financial Literacy 
f11dd20e56b6ce7bf5a04ad65a3c7cf5,More Reading 
f11ab249ae6c0282029d7ee293fc9a48,Help!! Our School's Laminating Machine is Always Empty!!
f116b18d3167942a9d814c1fb6a1f04b,Building a Show Choir
f10baf83690a81d8c0204f3d10eae2ef,Help Put Technology to Good Use for Special Needs Students!
f107271359c56e10bdce2ebd59147590,Riveted Readers Ready For Action
f105b795f4f9a7e4afe214568bc95083,Rumpelstiltskin is My Name
f1020b6fc5d5f840b195fb596cdfba4e,Boosting Learning in Math & Language Arts
f0d904d2c47229339ddd060beb8cc198,L.E.A.P into Technology
f0cea409438b375446626f4b166026e7,21st Century Technology
f0c5e52e6b2e63bfe6a7d7de7e926b87,Plugging Our Students Into the 21st Century
f0bfa88c3cdd870d375bafe5b05aaa00,Young Readers
f0aebfe5f0497d26aaf348efecbaf69c,Is This Thing On?
f0acb167f9e4e6effec201a04c397085,A New Look At Segregation- Gaining A Different Perspective
f097e3cbf93547367872e1e27e5f111f,Reappearing Bones!
f08b8f639eef3aa39fc80a5394fc083b,We Need Calculators!!!
f071aef3bd272543dd8dd24f3fa8ac3b,Manipulatives for Math and Handwriting Skills
f05630719541e44f7b3cd2d76a5b9fbb,Learning to LOVE to Read!
f04782f967e2c17788a0bd36ee154c3e,Sci Fi Novel Fun! 
f031860018ea3a910bd0ac8ea827aeeb,Learning Science though Multimedia Project Production
f0299a5c17913d23a754635b9003fd42,New Teacher Needs Help With Organization Please!
f0187a4e80d686f2bfa1fad7139d4c05,Building Mathematical Minds One Day at a Time
f00f7d945b547ab2abc6c81ec496c7ae,Music Gets Us Moving But Our Rug Ruins Our Rhythm!
efff14291c189f12404baa83ca36c4df,"Explorers Of Today
effb96f35ea38f5f014cc454a6b1a7c9,Stuck on Science!
efd9aa05c1639b796440918a024e1f7a,Learning With Technology
efd3963e3dbe20e8b83237bc0bb090e8,Bring the World to Future Global Leaders
efbb5ef902a20d88cef0e9742b0d1ba1,Save a Tree - White Boards Please
